make model,rid,source_url,id,dl,make,model,vehicle_type,car_registration_date,listing_price,depreciation,category_1,engine_cap,transmission,mileage,no_of_owners,coe,omv,arf,availability,posted_on,last_updated_on,company_name,road_tax,category_2,category_3
Audi A1 1.4A TFSI S-tronic,6366,https://www.sgcarmart.com/used_cars/info.php?ID=783981&DL=1000,783981,1000,Audi,A1 1.4A TFSI S-tronic,Hatchback,10/3/12 0:00,54800,9440,PARF Car,1390,Auto,71600,2,66889,36952,36952,Available,11/15/18 0:00,11/22/18 0:00,,620, Direct Owner Sale,
Audi A1 1.4A TFSI S-tronic,5939,https://www.sgcarmart.com/used_cars/info.php?ID=727029&DL=1000,727029,1000,Audi,A1 1.4A TFSI S-tronic,Hatchback,4/26/12 0:00,57000,12830,PARF Car,1390,Auto,97000,1,58501,26495,26495,Available,11/17/18 0:00,11/26/18 0:00,,620, Direct Owner Sale,
Audi A1 1.4A TFSI S-tronic,6031,https://www.sgcarmart.com/used_cars/info.php?ID=783285&DL=2304,783285,2304,Audi,A1 1.4A TFSI S-tronic,Hatchback,4/24/12 0:00,45800,9750,PARF Car,1390,Auto,96000,2,64201,25218,25218,Available,11/16/18 0:00,11/16/18 0:00,Wise Auto Pte Ltd,620,,
Audi A1 1.4A TFSI S-tronic,4493,https://www.sgcarmart.com/used_cars/info.php?ID=770065&DL=3301,770065,3301,Audi,A1 1.4A TFSI S-tronic,Hatchback,4/20/12 0:00,46000,9350,PARF Car,1390,Auto,63365,2,64201,28495,28495,Available,11/21/18 0:00,11/21/18 0:00,Allmotoring.sg,620, Premium Ad Car, Low Mileage Car
Audi A1 1.4A TFSI S-tronic,5500,https://www.sgcarmart.com/used_cars/info.php?ID=780045&DL=1000,780045,1000,Audi,A1 1.4A TFSI S-tronic,Hatchback,1/19/12 0:00,40800,8890,PARF Car,1390,Auto,107860,2,48112,25679,25679,Available,11/18/18 0:00,11/26/18 0:00,,620, Direct Owner Sale,
Audi A1 1.4A TFSI S-tronic,5416,https://www.sgcarmart.com/used_cars/info.php?ID=784732&DL=3486,784732,3486,Audi,A1 1.4A TFSI S-tronic,Hatchback,12/30/11 0:00,39900,8860,PARF Car,1390,Auto,60000,4,52392,25047,25047,Available,11/18/18 0:00,11/18/18 0:00,Craft Auto Pte Ltd,620, Low Mileage Car,
Audi A1 1.4A TFSI S-tronic,11676,https://www.sgcarmart.com/used_cars/info.php?ID=755408&DL=1079,755408,1079,Audi,A1 1.4A TFSI S-tronic,Hatchback,9/8/11 0:00,41800,10100,PARF Car,1390,Auto,85000,1,51000,27500,27500,Available,9/26/18 0:00,11/22/18 0:00,Faster Auto Trading,620,,
Audi A1 1.4A TFSI S-tronic,5894,https://www.sgcarmart.com/used_cars/info.php?ID=779368&DL=1000,779368,1000,Audi,A1 1.4A TFSI S-tronic,Hatchback,5/26/11 0:00,42800,10840,PARF Car,1390,Auto,0,4,46989,31546,31546,Available,11/17/18 0:00,11/17/18 0:00,,620, Direct Owner Sale,
Audi A1 1.4A TFSI S-tronic,10569,https://www.sgcarmart.com/used_cars/info.php?ID=764617&DL=1377,764617,1377,Audi,A1 1.4A TFSI S-tronic,Hatchback,5/6/11 0:00,34800,9140,PARF Car,1390,Auto,0,2,44790,25050,25050,Available,10/13/18 0:00,11/19/18 0:00,Twin Wheels Auto Trading Enterprise,620,,
Audi A1 1.4A TFSI S-tronic,2166,https://www.sgcarmart.com/used_cars/info.php?ID=785151&DL=2875,785151,2875,Audi,A1 1.4A TFSI S-tronic,Hatchback,4/27/11 0:00,34888,8970,PARF Car,1390,Auto,104000,2,43212,26477,26477,Available,11/24/18 0:00,11/24/18 0:00,Euro Performance Asia Pte Ltd,620,,
Audi A1 1.4A TFSI S-tronic,472,https://www.sgcarmart.com/used_cars/info.php?ID=786603&DL=1000,786603,1000,Audi,A1 1.4A TFSI S-tronic,Hatchback,3/31/11 0:00,33800,8600,PARF Car,1390,Auto,123000,2,37124,27357,27357,Available,11/27/18 0:00,11/27/18 0:00,,620, Direct Owner Sale,
Audi A1 Sportback 1.0A TFSI S-tronic,6656,https://www.sgcarmart.com/used_cars/info.php?ID=732253&DL=3383,732253,3383,Audi,A1 Sportback 1.0A TFSI S-tronic,Hatchback,10/10/17 0:00,84000,8990,PARF Car,999,Auto,9900,1,41761,22463,8449,Available,11/14/18 0:00,11/27/18 0:00,Audax Auto Pte Ltd,392, Premium Ad Car, Low Mileage Car
Audi A1 Sportback 1.0A TFSI S-tronic,8135,https://www.sgcarmart.com/used_cars/info.php?ID=781981&DL=2515,781981,2515,Audi,A1 Sportback 1.0A TFSI S-tronic,Hatchback,6/15/17 0:00,79800,8840,PARF Car,999,Auto,19381,1,45201,22449,8429,Available,11/5/18 0:00,11/21/18 0:00,GMA Auto Enterprise LLP,392,,
Audi A1 Sportback 1.0A TFSI S-tronic,2229,https://www.sgcarmart.com/used_cars/info.php?ID=786109&DL=3074,786109,3074,Audi,A1 Sportback 1.0A TFSI S-tronic,Hatchback,4/27/17 0:00,78800,8860,PARF Car,999,Auto,22755,1,48556,22457,8440,Available,11/24/18 0:00,11/27/18 0:00,Trillium Automobile Pte Ltd,392,,
Audi A1 Sportback 1.0A TFSI S-tronic,10993,https://www.sgcarmart.com/used_cars/info.php?ID=758628&DL=2908,758628,2908,Audi,A1 Sportback 1.0A TFSI S-tronic,Hatchback,2/14/17 0:00,85000,9930,PARF Car,999,Auto,16900,1,48401,21256,6759,Available,10/7/18 0:00,10/7/18 0:00,Carro,392, Consignment Car, Low Mileage Car
Audi A1 Sportback 1.0A TFSI S-tronic,4006,https://www.sgcarmart.com/used_cars/info.php?ID=785261&DL=2688,785261,2688,Audi,A1 Sportback 1.0A TFSI S-tronic,Hatchback,1/27/16 0:00,69800,9140,PARF Car,999,Auto,51000,1,51301,22514,8520,Available,11/22/18 0:00,11/23/18 0:00,Choon Hub Motor Pte Ltd,392, Premium Ad Car,
Audi A1 Sportback 1.0A TFSI S-tronic,8083,https://www.sgcarmart.com/used_cars/info.php?ID=752070&DL=1463,752070,1463,Audi,A1 Sportback 1.0A TFSI S-tronic,Hatchback,7/31/15 0:00,66999,9390,PARF Car,999,Auto,35000,1,55889,22561,8586,Available,11/6/18 0:00,11/26/18 0:00,Premium Automobiles,392, Premium Ad Car,
Audi A1 Sportback 1.0A TFSI S-tronic,7454,https://www.sgcarmart.com/used_cars/info.php?ID=767111&DL=2908,767111,2908,Audi,A1 Sportback 1.0A TFSI S-tronic,Hatchback,7/9/15 0:00,63500,8950,PARF Car,999,Auto,39000,2,58700,22555,8577,Available,11/10/18 0:00,11/10/18 0:00,Carro,392, Consignment Car,
Audi A3 Cabriolet 1.4A TFSI S-tronic,8704,https://www.sgcarmart.com/used_cars/info.php?ID=725202&DL=2688,725202,2688,Audi,A3 Cabriolet 1.4A TFSI S-tronic,Sports Car,7/10/17 0:00,153151,15790,PARF Car,1395,Auto,6648,1,42801,33591,34028,Available,11/2/18 0:00,11/23/18 0:00,Choon Hub Motor Pte Ltd,624, Low Mileage Car,
